Iterations,Accuracy (%),$\beta$,seed,f
360,91.95713141025641,0.0,2,1
390,92.11738782051282,0.0,2,1
420,92.29767628205128,0.0,2,1
450,92.59815705128206,0.0,2,1
480,92.76842948717949,0.0,2,1
510,92.8886217948718,0.0,2,1
540,92.99879807692308,0.0,2,1
570,93.24919871794872,0.0,2,1
600,93.38942307692308,0.0,2,1
30,88.17107371794872,0.9,2,1
60,91.47636217948718,0.9,2,1
90,93.34935897435898,0.9,2,1
120,94.32091346153847,0.9,2,1
150,95.03205128205128,0.9,2,1
180,95.28245192307692,0.9,2,1
210,95.87339743589743,0.9,2,1
240,96.2139423076923,0.9,2,1
270,96.32411858974359,0.9,2,1
300,96.98517628205128,0.9,2,1
330,96.85496794871794,0.9,2,1
360,96.84495192307692,0.9,2,1
390,97.31570512820512,0.9,2,1
420,97.48597756410257,0.9,2,1
450,97.68629807692308,0.9,2,1
480,97.83653846153847,0.9,2,1
510,97.86658653846153,0.9,2,1
540,97.83653846153847,0.9,2,1
570,98.01682692307692,0.9,2,1
600,97.98677884615384,0.9,2,1
30,66.74679487179488,0.0,2,6
60,77.4639423076923,0.0,2,6
90,83.6738782051282,0.0,2,6
120,87.03926282051282,0.0,2,6
150,88.88221153846153,0.0,2,6
180,89.36298076923077,0.0,2,6
210,90.1943108974359,0.0,2,6
240,90.65504807692308,0.0,2,6
270,91.00560897435898,0.0,2,6
300,91.22596153846153,0.0,2,6
330,91.47636217948718,0.0,2,6
360,91.8369391025641,0.0,2,6
390,91.80689102564102,0.0,2,6
420,92.08733974358974,0.0,2,6
450,92.27764423076923,0.0,2,6
480,92.5380608974359,0.0,2,6
510,92.51802884615384,0.0,2,6
540,92.76842948717949,0.0,2,6
570,93.01883012820512,0.0,2,6
600,93.0889423076923,0.0,2,6
30,85.35657051282051,0.9,2,6
60,90.83533653846153,0.9,2,6
90,93.0889423076923,0.9,2,6
120,93.55969551282051,0.9,2,6
150,94.63141025641026,0.9,2,6
180,95.12219551282051,0.9,2,6
210,95.47275641025641,0.9,2,6
240,95.92347756410257,0.9,2,6
270,96.47435897435898,0.9,2,6
300,96.7548076923077,0.9,2,6
330,96.92508012820512,0.9,2,6
360,97.04527243589743,0.9,2,6
390,97.08533653846153,0.9,2,6
420,97.33573717948718,0.9,2,6
450,97.36578525641026,0.9,2,6
480,97.55608974358974,0.9,2,6
510,97.7764423076923,0.9,2,6
540,97.81650641025641,0.9,2,6
570,97.97676282051282,0.9,2,6
600,98.0068108974359,0.9,2,6
30,65.26442307692308,0.0,2,12
60,74.18870192307692,0.0,2,12
90,81.10977564102564,0.0,2,12
120,85.59695512820512,0.0,2,12
150,87.92067307692308,0.0,2,12
180,88.83213141025641,0.0,2,12
210,89.5332532051282,0.0,2,12
240,89.95392628205128,0.0,2,12
270,90.44471153846153,0.0,2,12
300,90.79527243589743,0.0,2,12
330,91.03565705128206,0.0,2,12
360,91.15584935897436,0.0,2,12
390,91.60657051282051,0.0,2,12
420,91.74679487179488,0.0,2,12
450,91.78685897435898,0.0,2,12
480,92.19751602564102,0.0,2,12
510,92.2676282051282,0.0,2,12
540,92.42788461538461,0.0,2,12
570,92.6582532051282,0.0,2,12
600,92.6582532051282,0.0,2,12
30,83.81410256410257,0.9,2,12
60,90.6650641025641,0.9,2,12
90,92.59815705128206,0.9,2,12
120,93.73998397435898,0.9,2,12
150,93.85016025641026,0.9,2,12
180,94.79166666666667,0.9,2,12
210,95.3926282051282,0.9,2,12
240,95.6229967948718,0.9,2,12
270,96.19391025641026,0.9,2,12
300,96.4042467948718,0.9,2,12
330,96.46434294871794,0.9,2,12
360,96.71474358974359,0.9,2,12
390,97.00520833333333,0.9,2,12
420,97.06530448717949,0.9,2,12
450,97.24559294871794,0.9,2,12
480,97.35576923076923,0.9,2,12
510,97.47596153846153,0.9,2,12
540,97.47596153846153,0.9,2,12
570,97.64623397435898,0.9,2,12
600,97.84655448717949,0.9,2,12
